participant_id	visit_id	session_id	datatype
1004	BL	BL	['anat']
1005	BL	BL	['anat']
1007	BL	BL	['anat']
1009	BL	BL	['anat']
1010	BL	BL	['anat']
1012	BL	BL	['anat']
1013	BL	BL	['anat']
1014	BL	BL	['anat']
1015	BL	BL	['anat']
1017	BL	BL	['anat']
1018	BL	BL	['anat']
1019	BL	BL	['anat']
1020	BL	BL	['anat']
1022	BL	BL	['anat']
1023	BL	BL	['anat']
1024	BL	BL	['anat']
1025	BL	BL	['anat']
1026	BL	BL	['anat']
1028	BL	BL	['anat']
1029	BL	BL	['anat']
1030	BL	BL	['anat']
1031	BL	BL	['anat']
1032	BL	BL	['anat']
1033	BL	BL	['anat']
1034	BL	BL	['anat']
1035	BL	BL	['anat']
1036	BL	BL	['anat']
1037	BL	BL	['anat']
1038	BL	BL	['anat']
1039	BL	BL	['anat']
1041	BL	BL	['anat']
