participant_id	visit_id	session_id	datatype
A00008326	BAS1	BAS1	['anat']
A00008326	BAS2	BAS2	['anat']
A00008326	FLU1	FLU1	['anat']
A00008399	BAS1	BAS1	['anat']
A00010893	BAS1	BAS1	[]
A00013809	BAS1	BAS1	['anat']
A00018030	BAS1	BAS1	['anat']
A00018030	FLU1	FLU1	['anat']
A00018030	TRT	TRT	['anat']
A00019903	BAS1	BAS1	['anat']
A00021039	BAS1	BAS1	['anat']
A00023510	BAS1	BAS1	['anat']
A00025566	BAS1	BAS1	['anat']
A00027159	BAS1	BAS1	['anat']
A00027159	FLU1	FLU1	['anat']
A00027159	TRT	TRT	['anat']
A00027167	BAS1	BAS1	['anat']
A00027167	FLU1	FLU1	['anat']
A00027167	TRT	TRT	['anat']
A00027439	BAS1	BAS1	[]
A00027439	FLU1	FLU1	['anat']
A00027439	TRT	TRT	['anat']
A00027443	BAS1	BAS1	['anat']
A00027544	BAS1	BAS1	['anat']
A00027651	BAS1	BAS1	['anat']
A00028150	BAS1	BAS1	['anat']
A00028152	BAS1	BAS1	['anat']
A00028177	BAS1	BAS1	['anat']
A00028184	BAS1	BAS1	['anat']
A00028185	BAS1	BAS1	['anat']
A00028185	BAS2	BAS2	['anat']
A00028192	BAS1	BAS1	['anat']
A00028207	BAS1	BAS1	['anat']
A00028246	BAS1	BAS1	['anat']
A00028266	BAS1	BAS1	['anat']
A00028287	BAS1	BAS1	['anat']
A00028339	BAS1	BAS1	['anat']
A00028339	BAS2	BAS2	['anat']
A00028339	FLU1	FLU1	['anat']
A00028340	BAS1	BAS1	[]
A00028352	BAS1	BAS1	['anat']
A00028352	BAS2	BAS2	['anat']
A00028380	BAS1	BAS1	['anat']
A00028389	BAS1	BAS1	['anat']
A00028399	BAS1	BAS1	['anat']
A00028400	BAS1	BAS1	['anat']
A00028429	BAS1	BAS1	['anat']
A00028430	BAS1	BAS1	['anat']
A00028468	BAS1	BAS1	['anat']
A00028522	BAS1	BAS1	['anat']
A00028552	BAS1	BAS1	['anat']
A00028605	BAS1	BAS1	['anat']
A00028606	BAS1	BAS1	['anat']
A00028613	BAS1	BAS1	['anat']
A00028625	BAS1	BAS1	['anat']
A00028656	BAS1	BAS1	['anat']
A00028678	BAS1	BAS1	['anat']
A00028691	BAS1	BAS1	['anat']
A00028694	BAS1	BAS1	['anat']
A00028753	BAS1	BAS1	['anat']
A00028753	BAS2	BAS2	['anat']
A00028754	BAS1	BAS1	['anat']
A00028754	BAS2	BAS2	['anat']
A00028766	BAS1	BAS1	['anat']
A00028784	BAS1	BAS1	['anat']
A00028822	BAS1	BAS1	['anat']
A00028842	BAS1	BAS1	['anat']
A00028844	BAS1	BAS1	['anat']
A00028845	BAS1	BAS1	['anat']
A00028858	BAS1	BAS1	['anat']
A00028912	BAS1	BAS1	['anat']
A00028929	BAS1	BAS1	['anat']
A00028994	BAS1	BAS1	['anat']
A00028995	BAS1	BAS1	['anat']
A00029075	BAS1	BAS1	['anat']
A00029076	BAS1	BAS1	['anat']
A00029092	BAS1	BAS1	['anat']
A00029104	BAS1	BAS1	['anat']
A00029126	BAS1	BAS1	['anat']
A00029127	BAS1	BAS1	['anat']
A00029215	BAS1	BAS1	['anat']
A00029219	BAS1	BAS1	['anat']
A00029230	BAS1	BAS1	['anat']
A00029231	BAS1	BAS1	['anat']
A00029303	BAS1	BAS1	['anat']
A00029304	BAS1	BAS1	['anat']
A00029979	BAS1	BAS1	['anat']
A00030912	BAS1	BAS1	['anat']
A00030913	BAS1	BAS1	['anat']
A00030947	BAS1	BAS1	['anat']
A00030947	BAS2	BAS2	['anat']
A00030980	BAS1	BAS1	['anat']
A00030981	BAS1	BAS1	['anat']
A00030989	BAS1	BAS1	['anat']
A00030989	BAS2	BAS2	['anat']
A00030990	BAS1	BAS1	['anat']
A00031145	BAS1	BAS1	['anat']
A00031166	BAS1	BAS1	['anat']
A00031167	BAS1	BAS1	['anat']
A00031216	BAS1	BAS1	['anat']
A00031217	BAS1	BAS1	['anat']
A00031219	BAS1	BAS1	['anat']
A00031219	BAS2	BAS2	['anat']
A00031272	BAS1	BAS1	['anat']
A00031410	BAS1	BAS1	['anat']
A00031411	BAS1	BAS1	['anat']
A00031452	BAS1	BAS1	['anat']
A00031452	BAS2	BAS2	['anat']
A00031452	FLU1	FLU1	['anat']
A00031459	BAS1	BAS1	['anat']
A00031549	BAS1	BAS1	['anat']
A00031578	BAS1	BAS1	['anat']
A00031604	BAS1	BAS1	['anat']
A00031605	BAS1	BAS1	['anat']
A00031625	BAS1	BAS1	['anat']
A00031683	BAS1	BAS1	['anat']
A00031794	BAS1	BAS1	['anat']
A00031794	BAS2	BAS2	['anat']
A00031794	FLU1	FLU1	['anat']
