participant_id	visit_id	session_id	datatype
ON00400	01	01	['anat']
ON01016	01	01	['anat']
ON01802	01	01	['anat']
ON02693	01	01	['anat']
ON02747	01	01	['anat']
ON02811	01	01	['anat']
ON03748	01	01	['anat']
ON04111	01	01	['anat']
ON05258	01	01	['anat']
ON05311	01	01	['anat']
ON05530	01	01	['anat']
ON06421	01	01	['anat']
ON06910	01	01	['anat']
ON07392	01	01	['anat']
ON08155	01	01	['anat']
ON08392	01	01	['anat']
ON08571	01	01	['anat']
ON08643	01	01	[]
ON08710	01	01	['anat']
ON08760	01	01	['anat']
ON08792	01	01	['anat']
ON09474	01	01	['anat']
ON09540	01	01	['anat']
ON09681	01	01	['anat']
ON09760	01	01	['anat']
ON09766	01	01	['anat']
ON10965	01	01	['anat']
ON11111	01	01	['anat']
ON11394	01	01	['anat']
ON11411	01	01	['anat']
ON12666	01	01	['anat']
ON12688	01	01	['anat']
ON13545	01	01	['anat']
ON13986	01	01	['anat']
ON13986	02	02	['anat']
ON17159	01	01	['anat']
ON18047	01	01	['anat']
ON21834	01	01	['anat']
ON21959	01	01	['anat']
ON21976	01	01	['anat']
ON22299	01	01	['anat']
ON22662	01	01	['anat']
ON22671	01	01	['anat']
ON23419	01	01	['anat']
ON23483	01	01	['anat']
ON23664	01	01	['anat']
ON23776	01	01	['anat']
ON23897	01	01	['anat']
ON25658	01	01	['anat']
ON25939	01	01	['anat']
ON26105	01	01	['anat']
ON26309	01	01	['anat']
ON26854	01	01	['anat']
ON28693	01	01	['anat']
ON30080	01	01	['anat']
ON30535	01	01	['anat']
ON31551	01	01	['anat']
ON33159	01	01	['anat']
ON33221	01	01	['anat']
ON33827	01	01	['anat']
ON34754	01	01	['anat']
ON34766	01	01	['anat']
ON35773	01	01	['anat']
ON35920	01	01	['anat']
ON37194	01	01	['anat']
ON38044	01	01	['anat']
ON39099	01	01	['anat']
ON39384	01	01	['anat']
ON39384	02	02	['anat']
ON40397	01	01	['anat']
ON40757	01	01	['anat']
ON41090	01	01	['anat']
ON41606	01	01	['anat']
ON42107	01	01	['anat']
ON42941	01	01	['anat']
ON43001	01	01	['anat']
ON43016	01	01	['anat']
ON43210	01	01	['anat']
ON43585	01	01	['anat']
ON44262	01	01	['anat']
ON46717	01	01	['anat']
ON47254	01	01	['anat']
ON48190	01	01	['anat']
ON48555	01	01	['anat']
ON48925	01	01	['anat']
ON48984	01	01	['anat']
ON49080	01	01	['anat']
ON50015	01	01	['anat']
ON50636	01	01	['anat']
ON51005	01	01	['anat']
ON51111	01	01	['anat']
ON52083	01	01	['anat']
ON52220	01	01	['anat']
ON52662	01	01	['anat']
ON52733	01	01	['anat']
ON52992	01	01	['anat']
ON53213	01	01	['anat']
ON54268	01	01	['anat']
ON54886	01	01	['anat']
ON55820	01	01	['anat']
ON56044	01	01	['anat']
ON56250	01	01	['anat']
ON58053	01	01	['anat']
ON59735	01	01	['anat']
ON61087	01	01	['anat']
ON61373	01	01	['anat']
ON62003	01	01	['anat']
ON62200	01	01	['anat']
ON62592	01	01	['anat']
ON62623	01	01	['anat']
ON62955	01	01	['anat']
ON63221	01	01	['anat']
ON63335	01	01	['anat']
ON63704	01	01	['anat']
ON63734	01	01	['anat']
ON64410	01	01	['anat']
ON65232	01	01	['anat']
ON65403	01	01	['anat']
ON65412	01	01	['anat']
ON65553	01	01	['anat']
ON65697	01	01	['anat']
ON65733	01	01	['anat']
ON66199	01	01	['anat']
ON66243	01	01	['anat']
ON66401	01	01	['anat']
ON66452	01	01	['anat']
ON66557	01	01	['anat']
ON67121	01	01	['anat']
ON67435	01	01	['anat']
ON67563	01	01	['anat']
ON69092	01	01	['anat']
ON70467	01	01	['anat']
ON71932	01	01	['anat']
ON72082	01	01	['anat']
ON72409	01	01	['anat']
ON73200	01	01	['anat']
ON73969	01	01	['anat']
ON74065	01	01	['anat']
ON74320	01	01	['anat']
ON75100	01	01	['anat']
ON75413	01	01	['anat']
ON75450	01	01	['anat']
ON76144	01	01	['anat']
ON76320	01	01	['anat']
ON76510	01	01	['anat']
ON76525	01	01	['anat']
ON76625	01	01	['anat']
ON77753	01	01	['anat']
ON78603	01	01	['anat']
ON79309	01	01	['anat']
ON80038	01	01	['anat']
ON80356	01	01	['anat']
ON81734	01	01	['anat']
ON82386	01	01	['anat']
ON82798	01	01	['anat']
ON82948	01	01	['anat']
ON83320	01	01	['anat']
ON84201	01	01	['anat']
ON84478	01	01	['anat']
ON84651	01	01	['anat']
ON84896	01	01	['anat']
ON85010	01	01	['anat']
ON85301	01	01	['anat']
